,invoice_id,customer_id,invoice_date,billing_address,billing_city,billing_state,billing_country,billing_postal_code,total,billing_state_filled
94,95,45,2017-07-10,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,10.89,Unknown
95,96,53,2017-07-17,113 Lupus St,London,,United Kingdom,SW1V 3EN,5.94,Unknown
96,97,8,2017-07-22,Grétrystraat 63,Brussels,,Belgium,1000,5.94,Unknown
97,98,17,2017-07-23,1 Microsoft Way,Redmond,WA,USA,98052-8300,9.9,WA
98,99,55,2017-07-28,421 Bourke Street,Sidney,NSW,Australia,2010,17.82,NSW
99,100,58,2017-07-31,"12,Community Centre",Delhi,,India,110017,5.94,Unknown
100,101,20,2017-07-31,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3.96,CA
101,102,8,2017-08-02,Grétrystraat 63,Brussels,,Belgium,1000,9.9,Unknown
102,103,39,2017-08-03,"4, Rue Milton",Paris,,France,75009,5.94,Unknown
103,104,4,2017-08-06,Ullevålsveien 14,Oslo,,Norway,0171,1.98,Unknown
104,105,31,2017-08-12,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,7.92,NS
105,106,54,2017-08-19,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,7.92,Unknown
106,107,32,2017-08-21,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,10.89,MB
107,108,30,2017-08-27,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,4.95,ON
108,109,22,2017-08-29,120 S Orange Ave,Orlando,FL,USA,32801,10.89,FL
109,110,15,2017-08-29,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,5.94,BC
110,111,13,2017-08-30,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,4.95,DF
111,112,6,2017-08-31,Rilská 3174/6,Prague,,Czech Republic,14300,16.83,Unknown
112,113,13,2017-09-01,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,9.9,DF
113,114,12,2017-09-05,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,16.83,RJ
114,115,50,2017-09-08,C/ San Bernardo 85,Madrid,,Spain,28015,8.91,Unknown
115,116,6,2017-09-08,Rilská 3174/6,Prague,,Czech Republic,14300,10.89,Unknown
116,117,44,2017-09-10,Porthaninkatu 9,Helsinki,,Finland,00530,10.89,Unknown
117,118,28,2017-09-10,302 S 700 E,Salt Lake City,UT,USA,84102,0.99,UT
118,119,5,2017-09-12,Klanova 9/506,Prague,,Czech Republic,14700,1.98,Unknown
119,120,29,2017-09-19,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,5.94,ON
120,121,59,2017-09-20,"3,Raj Bhavan Road",Bangalore,,India,560001,8.91,Unknown
121,122,9,2017-09-21,Sønder Boulevard 51,Copenhagen,,Denmark,1720,4.95,Unknown
122,123,7,2017-09-23,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,11.88,Unknown
123,124,8,2017-09-25,Grétrystraat 63,Brussels,,Belgium,1000,5.94,Unknown
124,125,3,2017-09-29,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,9.9,QC
125,126,32,2017-10-07,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,3.96,MB
126,127,35,2017-10-08,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,Unknown,10.89,Unknown
127,128,17,2017-10-12,1 Microsoft Way,Redmond,WA,USA,98052-8300,6.93,WA
128,129,17,2017-10-16,1 Microsoft Way,Redmond,WA,USA,98052-8300,10.89,WA
129,130,13,2017-10-19,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,DF
130,131,2,2017-10-21,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,2.97,Unknown
131,132,14,2017-10-22,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98,AB
132,133,35,2017-10-22,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,Unknown,9.9,Unknown
133,134,2,2017-10-23,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,7.92,Unknown
134,135,11,2017-10-25,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,2.97,SP
135,136,33,2017-10-29,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,3.96,NT
136,137,34,2017-10-29,Rua da Assunção 53,Lisbon,,Portugal,Unknown,1.98,Unknown
137,138,33,2017-10-30,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,10.89,NT
138,139,23,2017-11-03,69 Salem Street,Boston,MA,USA,2113,4.95,MA
139,140,58,2017-11-06,"12,Community Centre",Delhi,,India,110017,7.92,Unknown
140,141,45,2017-11-07,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,17.82,Unknown
141,142,15,2017-11-10,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,14.85,BC
142,143,25,2017-11-10,319 N. Frances Street,Madison,WI,USA,53703,4.95,WI
143,144,33,2017-11-18,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,2.97,NT
144,145,28,2017-11-22,302 S 700 E,Salt Lake City,UT,USA,84102,4.95,UT
145,146,58,2017-11-22,"12,Community Centre",Delhi,,India,110017,12.87,Unknown
146,147,19,2017-11-28,1 Infinite Loop,Cupertino,CA,USA,95014,4.95,CA
147,148,42,2017-11-30,"9, Place Louis Barthou",Bordeaux,,France,33000,8.91,Unknown
148,149,1,2017-11-30,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,8.91,SP
149,150,22,2017-12-01,120 S Orange Ave,Orlando,FL,USA,32801,2.97,FL
150,151,35,2017-12-06,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,Unknown,2.97,Unknown
151,152,12,2017-12-12,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,5.94,RJ
152,153,1,2017-12-14,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,13.86,SP
153,154,39,2017-12-17,"4, Rue Milton",Paris,,France,75009,2.97,Unknown
154,155,59,2018-01-02,"3,Raj Bhavan Road",Bangalore,,India,560001,8.91,Unknown
155,156,10,2018-01-03,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,10.89,SP
156,157,57,2018-01-04,"Calle Lira, 198",Santiago,,Chile,Unknown,0.99,Unknown
157,158,57,2018-01-07,"Calle Lira, 198",Santiago,,Chile,Unknown,5.94,Unknown
158,159,20,2018-01-08,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,5.94,CA
159,160,41,2018-01-09,"11, Place Bellecour",Lyon,,France,69002,8.91,Unknown
160,161,24,2018-01-13,162 E Superior Street,Chicago,IL,USA,60611,7.92,IL
161,162,2,2018-01-15,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,8.91,Unknown
162,163,6,2018-01-16,Rilská 3174/6,Prague,,Czech Republic,14300,8.91,Unknown
163,164,49,2018-01-20,Ordynacka 10,Warsaw,,Poland,00-358,3.96,Unknown
164,165,41,2018-01-21,"11, Place Bellecour",Lyon,,France,69002,7.92,Unknown
165,166,17,2018-01-21,1 Microsoft Way,Redmond,WA,USA,98052-8300,9.9,WA
166,167,21,2018-01-25,801 W 4th Street,Reno,NV,USA,89503,5.94,NV
167,168,47,2018-01-27,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,RM
168,169,21,2018-01-28,801 W 4th Street,Reno,NV,USA,89503,8.91,NV
169,170,45,2018-01-28,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,9.9,Unknown
170,171,53,2018-01-30,113 Lupus St,London,,United Kingdom,SW1V 3EN,12.87,Unknown
171,172,33,2018-01-31,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,7.92,NT
172,173,5,2018-01-31,Klanova 9/506,Prague,,Czech Republic,14700,10.89,Unknown
173,174,48,2018-01-31,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,6.93,VV
174,175,39,2018-01-31,"4, Rue Milton",Paris,,France,75009,17.82,Unknown
175,176,46,2018-01-31,3 Chatham Street,Dublin,Dublin,Ireland,Unknown,6.93,Dublin
176,177,47,2018-02-01,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,1.98,RM
177,178,9,2018-02-02,Sønder Boulevard 51,Copenhagen,,Denmark,1720,2.97,Unknown
178,179,25,2018-02-03,319 N. Frances Street,Madison,WI,USA,53703,9.9,WI
179,180,46,2018-02-05,3 Chatham Street,Dublin,Dublin,Ireland,Unknown,9.9,Dublin
180,181,45,2018-02-06,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,6.93,Unknown
181,182,1,2018-02-07,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,SP
182,183,42,2018-02-09,"9, Place Louis Barthou",Bordeaux,,France,33000,23.76,Unknown
183,184,1,2018-02-09,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,0.99,SP
184,185,21,2018-02-10,801 W 4th Street,Reno,NV,USA,89503,8.91,NV
185,186,11,2018-02-10,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,2.97,SP
186,187,18,2018-02-18,627 Broadway,New York,NY,USA,10012-2612,6.93,NY
187,188,13,2018-02-20,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,10.89,DF
188,189,13,2018-02-21,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,DF
189,190,51,2018-02-21,Celsiusg. 9,Stockholm,,Sweden,11230,4.95,Unknown
190,191,51,2018-02-22,Celsiusg. 9,Stockholm,,Sweden,11230,3.96,Unknown
191,192,28,2018-02-25,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,UT
192,193,41,2018-02-26,"11, Place Bellecour",Lyon,,France,69002,1.98,Unknown
193,194,34,2018-02-27,Rua da Assunção 53,Lisbon,,Portugal,Unknown,0.99,Unknown
194,195,27,2018-03-02,1033 N Park Ave,Tucson,AZ,USA,85719,10.89,AZ
195,196,37,2018-03-02,Berger Straße 10,Frankfurt,,Germany,60316,9.9,Unknown
196,197,46,2018-03-05,3 Chatham Street,Dublin,Dublin,Ireland,Unknown,10.89,Dublin
197,198,13,2018-03-05,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,10.89,DF
198,199,20,2018-03-08,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,2.97,CA
199,200,24,2018-03-08,162 E Superior Street,Chicago,IL,USA,60611,7.92,IL
200,201,39,2018-03-11,"4, Rue Milton",Paris,,France,75009,11.88,Unknown
201,202,25,2018-03-13,319 N. Frances Street,Madison,WI,USA,53703,1.98,WI
202,203,38,2018-03-16,Barbarossastraße 19,Berlin,,Germany,10779,9.9,Unknown
203,204,20,2018-03-17,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,10.89,CA
204,205,4,2018-03-20,Ullevålsveien 14,Oslo,,Norway,0171,9.9,Unknown
205,206,11,2018-03-21,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,4.95,SP
206,207,17,2018-03-21,1 Microsoft Way,Redmond,WA,USA,98052-8300,3.96,WA
207,208,4,2018-03-22,Ullevålsveien 14,Oslo,,Norway,0171,5.94,Unknown
208,209,27,2018-03-25,1033 N Park Ave,Tucson,AZ,USA,85719,3.96,AZ
209,210,2,2018-03-25,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,10.89,Unknown
210,211,51,2018-03-26,Celsiusg. 9,Stockholm,,Sweden,11230,8.91,Unknown
211,212,45,2018-03-31,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,11.88,Unknown
212,213,53,2018-04-01,113 Lupus St,London,,United Kingdom,SW1V 3EN,10.89,Unknown
213,214,57,2018-04-03,"Calle Lira, 198",Santiago,,Chile,Unknown,4.95,Unknown
214,215,26,2018-04-04,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98,TX
215,216,49,2018-04-14,Ordynacka 10,Warsaw,,Poland,00-358,4.95,Unknown
216,217,27,2018-04-17,1033 N Park Ave,Tucson,AZ,USA,85719,9.9,AZ
217,218,56,2018-04-19,307 Macacha Güemes,Buenos Aires,,Argentina,1106,8.91,Unknown
218,219,20,2018-04-21,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,2.97,CA
219,220,59,2018-04-25,"3,Raj Bhavan Road",Bangalore,,India,560001,8.91,Unknown
220,221,35,2018-04-25,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,Unknown,7.92,Unknown
221,222,2,2018-04-29,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,Unknown
222,223,1,2018-05-04,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,17.82,SP
223,224,34,2018-05-06,Rua da Assunção 53,Lisbon,,Portugal,Unknown,9.9,Unknown
224,225,7,2018-05-08,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,5.94,Unknown
225,226,42,2018-05-12,"9, Place Louis Barthou",Bordeaux,,France,33000,10.89,Unknown
226,227,52,2018-05-16,202 Hoxton Street,London,,United Kingdom,N1 5LH,9.9,Unknown
227,228,57,2018-05-16,"Calle Lira, 198",Santiago,,Chile,Unknown,3.96,Unknown
228,229,15,2018-05-19,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,2.97,BC
229,230,54,2018-05-21,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,7.92,Unknown
230,231,19,2018-05-27,1 Infinite Loop,Cupertino,CA,USA,95014,2.97,CA
231,232,57,2018-05-29,"Calle Lira, 198",Santiago,,Chile,Unknown,3.96,Unknown
232,233,14,2018-06-01,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,5.94,AB
233,234,36,2018-06-01,Tauentzienstraße 8,Berlin,,Germany,10789,0.99,Unknown
234,235,5,2018-06-06,Klanova 9/506,Prague,,Czech Republic,14700,6.93,Unknown
235,236,35,2018-06-08,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,Unknown,2.97,Unknown
236,237,52,2018-06-13,202 Hoxton Street,London,,United Kingdom,N1 5LH,15.84,Unknown
237,238,46,2018-06-14,3 Chatham Street,Dublin,Dublin,Ireland,Unknown,9.9,Dublin
238,239,38,2018-06-16,Barbarossastraße 19,Berlin,,Germany,10779,15.84,Unknown
239,240,10,2018-06-17,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,2.97,SP
240,241,45,2018-06-18,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,1.98,Unknown
241,242,36,2018-06-18,Tauentzienstraße 8,Berlin,,Germany,10789,9.9,Unknown
242,243,6,2018-06-23,Rilská 3174/6,Prague,,Czech Republic,14300,10.89,Unknown
243,244,53,2018-06-23,113 Lupus St,London,,United Kingdom,SW1V 3EN,4.95,Unknown
244,245,20,2018-06-30,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,2.97,CA
245,246,58,2018-07-12,"12,Community Centre",Delhi,,India,110017,8.91,Unknown
246,247,27,2018-07-12,1033 N Park Ave,Tucson,AZ,USA,85719,10.89,AZ
247,248,3,2018-07-13,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,6.93,QC
248,249,12,2018-07-14,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98,RJ
249,250,23,2018-07-20,69 Salem Street,Boston,MA,USA,2113,10.89,MA
250,251,7,2018-07-20,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,6.93,Unknown
251,252,44,2018-07-25,Porthaninkatu 9,Helsinki,,Finland,00530,7.92,Unknown
252,253,8,2018-07-29,Grétrystraat 63,Brussels,,Belgium,1000,11.88,Unknown
253,254,57,2018-07-30,"Calle Lira, 198",Santiago,,Chile,Unknown,9.9,Unknown
254,255,46,2018-07-31,3 Chatham Street,Dublin,Dublin,Ireland,Unknown,3.96,Dublin
255,256,13,2018-07-31,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,4.95,DF
256,257,16,2018-08-01,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,10.89,CA
257,258,48,2018-08-02,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,0.99,VV
258,259,38,2018-08-03,Barbarossastraße 19,Berlin,,Germany,10779,6.93,Unknown
259,260,10,2018-08-04,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,7.92,SP
260,261,49,2018-08-06,Ordynacka 10,Warsaw,,Poland,00-358,8.91,Unknown
261,262,3,2018-08-09,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,7.92,QC
262,263,36,2018-08-13,Tauentzienstraße 8,Berlin,,Germany,10789,4.95,Unknown
263,264,38,2018-08-15,Barbarossastraße 19,Berlin,,Germany,10779,0.99,Unknown
264,265,52,2018-08-18,202 Hoxton Street,London,,United Kingdom,N1 5LH,6.93,Unknown
265,266,44,2018-08-22,Porthaninkatu 9,Helsinki,,Finland,00530,5.94,Unknown
266,267,9,2018-08-22,Sønder Boulevard 51,Copenhagen,,Denmark,1720,1.98,Unknown
267,268,16,2018-08-23,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,10.89,CA
268,269,43,2018-08-26,"68, Rue Jouvence",Dijon,,France,21000,0.99,Unknown
269,270,1,2018-08-27,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,10.89,SP
270,271,47,2018-08-30,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,10.89,RM
271,272,4,2018-08-30,Ullevålsveien 14,Oslo,,Norway,0171,8.91,Unknown
272,273,37,2018-09-02,Berger Straße 10,Frankfurt,,Germany,60316,16.83,Unknown
273,274,26,2018-09-04,2211 W Berry Street,Fort Worth,TX,USA,76110,4.95,TX
274,275,6,2018-09-06,Rilská 3174/6,Prague,,Czech Republic,14300,7.92,Unknown
275,276,22,2018-09-07,120 S Orange Ave,Orlando,FL,USA,32801,18.81,FL
276,277,53,2018-09-10,113 Lupus St,London,,United Kingdom,SW1V 3EN,4.95,Unknown
277,278,22,2018-09-23,120 S Orange Ave,Orlando,FL,USA,32801,2.97,FL
278,279,41,2018-10-01,"11, Place Bellecour",Lyon,,France,69002,4.95,Unknown
279,280,6,2018-10-02,Rilská 3174/6,Prague,,Czech Republic,14300,10.89,Unknown
280,281,50,2018-10-06,C/ San Bernardo 85,Madrid,,Spain,28015,13.86,Unknown
281,282,20,2018-10-11,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,16.83,CA
282,283,48,2018-10-13,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.91,VV
283,284,49,2018-10-16,Ordynacka 10,Warsaw,,Poland,00-358,10.89,Unknown
